股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
002739.SZ,万达电影,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-195000万元至-130000万元，与上年同期相比变动幅度为-1933.86%至-1322.57%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-5.33亿
002892.SZ,科力尔,100.0,,,
002179.SZ,中航光电,95.0,高应收款隐忧,1.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
603197.SH,保隆科技,100.0,,,
300563.SZ,神宇股份,95.0,换手率过高,1.0,截止最新交易日，该股票近5日换手率达114.6849%
002820.SZ,桂发祥,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-8000万元至-6000万元，与上年同期相比变动幅度为-475.82%至-381.87%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-4638.54万
000951.SZ,中国重汽,57.0,营收陡降风险;净利润陡降风险;高应收款隐忧;业绩公告预警;研发人员减少;关联交易风险,6.0,"截止20220930，公司营业收入相比去年同期降幅超过50%;截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;预计公司2022年01-12月归属于上市公司股东的净利润为17600万元至26000万元，与上年同期相比变动幅度为-83%至-75%。;截止2021-12-31,公司研发人员相对上期减少25.08%;业务单一且大量关联方交易(关联交易方占净利润320.24%)"
603949.SH,雪龙集团,80.0,净利润陡降风险;业绩公告预警,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于母公司所有者的净利润为4098万元至4988万元，与上年同期相比变动幅度为-68.04%至-61.1%。
002867.SZ,周大生,100.0,,,
300170.SZ,汉得信息,95.0,股权分散,1.0,陈迪清(第一大股东)持股比例为6.1%。
688004.SH,博汇科技,85.0,业绩公告预警;业绩变脸风险;财报亏损;交易所监管,4.0,预计公司2022年01-12月归属于母公司所有者的净利润为-3000万元至-2500万元，与上年同期相比变动幅度为-161.02%至-150.85%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20221231净利润：-2841.90万;关于北京市博汇科技股份有限公司的监管工作函TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6880042023020188232755.doc
600166.SH,福田汽车,74.0,公允价值收益异常;扣非亏损;诉讼风险;高担保比例,4.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4;该公司最新财报显示净利润为正，但扣非净利润为负;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2022-06-30,该公司对外担保额合计占净资产的比例大于30%"
002551.SZ,尚荣医疗,49.0,最大客户占营收比过高;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;被频繁问询监管;审计报告保留意见,7.0,"根据该公司20220630的数据：第一大客户占公司全部营业收入比例63.69%;预计公司2022年01-12月归属于上市公司股东的净利润为-48000万元至-38000万元，与上年同期相比变动幅度为-909.65%至-740.97%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-4488.49万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;1、如财务报表附注十三、3（1）所述，尚荣医疗公司之全资子公司深圳市尚荣医疗投资有限公司（以下简称尚荣投资）投资的秦皇岛市广济医院管理有限公司（以下简称广济医管）于2021年8月2日进入清算。截至2021年12月31日，总投资成本为18,200.00万元，账面累计计提减值2,158.01万元。由于目前清算方案尚未确定，我们无法就该项投资上年及本年减值计提的合理性获取充分、适当的审计证据。
2、如财务报表附注十三、3（2）所述，尚荣医疗公司建设的许昌二院迁扩建项目处于重整阶段。截至2021年12月31日，尚荣医疗公司对许昌二院应收账款余额为19,277.06万元，账面累计计提坏账准备4,765.23万元；其他应收款余额为6,698.64万元，账面累计计提坏账准备334.93万元。目前重整方案尚未确定，第一次债权人会议尚未召开，无法获取许昌二院债权申报情况以及资产状况，我们无法就上年及本年应收账款和其他应收款坏账准备的合理性获取充分、适当的审计证据。
3、根据尚荣投资与富平县国有资产管理局、富平县卫生和计划生育局签署关于设立富平县尚荣医院投资管理有限公司（以下简称富平医管公司）的相关协议约定：富平医管公司每年可以按富平中西医结合医院当年经营结余的一定比例合理计提管理费。因富平中西医结合医院尚无经营结余，我们对2018年至2020年三年累计确认3,720.00万元管理费收入存疑。该事项影响本年末应收账款余额3,720.00万元，坏账准备1,116.00万元，期初留存收益2,213.58万元。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于尚荣医疗公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。"
000881.SZ,中广核技,90.0,扣非亏损;研发人员减少,2.0,"该公司最新财报显示净利润为正，但扣非净利润为负;截止2021-12-31,公司研发人员相对上期减少22.24%"
600764.SH,中国海防,77.0,净利润陡降风险;应收账款占收入比例过高;关联交易风险,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;截止至2022-09-30,该公司营业收入大于5亿,应收账款占收入比例为93.23%;业务单一且大量关联方交易(关联交易方占净利润150.32%)"
002486.SZ,嘉麟杰,100.0,,,
000973.SZ,佛塑科技,100.0,,,
601827.SH,三峰环境,100.0,,,
873305.BJ,九菱科技,90.0,长时间停牌;市值偏小;成交不活跃,3.0,"于2022-07-01，Jul  1 2022  9:30AM单次停牌时长超过两个月;截至20230313,该公司A股总市值低于12亿(北证低于5亿);截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
300475.SZ,香农芯创,68.0,经营现金流风险;高库存隐忧;短期负债风险;已大比例减持,4.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至20221215，该公司重要股东近半年已减持的股份占总股本的比例为：7.00%"
301149.SZ,隆华新材,100.0,,,
002106.SZ,莱宝高科,100.0,,,
603556.SH,海兴电力,100.0,,,
002568.SZ,百润股份,84.0,货币资产充足仍举债;分析师评级下调,2.0,"截止20220930,公司货币资产为19.47亿元,流动负债合计为11.08亿元;投资评级与估值:考虑受疫情冲击，影响公司经营表现，下调22~23年盈利预测，新增2024年盈利预测。预测2022-2024年净利润分别为6.09、8.10和10.13亿元（前次为11.1、14.7亿元),分别同比增长-8.6%、33%、25.1%，当前股价对应的PE分别为50x,38x、30x，下调至中性评级。百润为国内预调酒行业龙头，品牌先发优势明显，研发实力强劲，高管团队在预调酒领域耕耘二十年，行业经验丰富，香精和基酒业务与预调酒业务形成有效协同。公司所处的赛道长期成长空间仍然较大，但短期受疫情影响基本面承压明显。"
300458.SZ,全志科技,75.0,净利润陡降风险;业绩公告预警;股权分散,3.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为20800万元至25000万元，与上年同期相比变动幅度为-57.93%至-49.44%。;张建辉(第一大股东)持股比例为8.75%。
002396.SZ,星网锐捷,100.0,,,
000889.SZ,ST中嘉,-3.0,负债率逐年递增;财报亏损;诉讼风险;股票频繁更名;审计报告保留意见;高层被立案调查;ST股票,7.0,"截止20211231，资产负债率逐年递增10%以上且最近年度高于70%;最新季度20220930净利润：-2554.41万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止目前，该公司历史更名次数达4次及以上;如财务报表附注六、附注五（四十）、附注十二（七）、3所述，中嘉博创公司与失控子公司北京中天嘉华信息技术有限公司（以下简称“嘉华信息”）原股东刘英魁、宁波保税区嘉语春华创业投资合伙企业（有限合伙）、宁波保税区嘉惠秋实创业投资合伙企业（有限合伙）（合称“原股东”）因业绩补偿或调整的方案多次协商未果后，原股东提起仲裁，进而导致中嘉博创公司对嘉华信息失去控制，公司决定自2021年10月1日起不再将嘉华信息纳入公司合并财务报表的合并范围。
如财务报表附注五（八）、附注五（四十二）、附注十二（七）、3所述，基于谨慎原则，中嘉博创公司对嘉华信息投资的可收回金额进行估计，按照预计可收回金额与账面价值的差额计提减值损失12.36亿元，计入当期损益。
由于嘉华信息处于失控状态，审计范围受到限制，且仲裁尚无最终结果，我们亦未能对纳入合并范围的嘉华信息2021年1-9月财务报表实施必要的审计程序，以判断中嘉博创公司2021年度对嘉华信息上述会计处理的准确性及影响程度。
我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于中嘉博创，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表保留意见提供了基础。;截止至20220608,中嘉博创信息技术股份有限公司（以下简称“公司”）于近期就北京中天嘉华信息技术有限公司（以下简称“嘉华信息”）原法定代表人兼董事长刘英魁、嘉华信息总经理陈枫涉嫌挪用公司资金的行为向北京市公安局朝阳分局报案。2022年6月8日，公司收到北京市公安局朝阳分局出具的《立案告知书》，公司被挪用资金一案，公安机关认为符合立案条件，现已立案。;"
603777.SH,来伊份,100.0,,,
000404.SZ,长虹华意,95.0,高应收款隐忧,1.0,"截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上"
